,Key,Values
354,C0234518,354
355,C0016382,355
356,C0919671,356
357,C0006157,357
358,C0424530,358
359,C0004604,359
360,C0018808,360
361,C0042571,361
362,C0007398,362
363,C0221470,363
364,C0457097,364
365,C0011633,365
366,C0023890,366
367,C0085606,367
368,C0011570,368
369,C0009763,369
370,C0039621,370
371,C0151825,371
372,C0023067,372
373,C0010201,373
374,C0232201,374
375,C0020461,375
376,C0743323,376
377,C0151859,377
378,C0020555,378
379,C1384489,379
380,C0241157,380
381,C0554980,381
382,C0541798,382
383,C0018801,383
384,C0239324,384
385,C0042109,385
386,C0242350,386
387,C0427108,387
388,C0006370,388
389,C0013456,389
390,C0220983,390
391,C0008767,391
392,C0037763,392
393,C0149746,393
394,C0037384,394
395,C0003811,395
396,C0010828,396
397,C0020621,397
398,C0014804,398
399,C0151786,399
400,C0260662,400
401,C0024103,401
402,C0311277,402
403,C0478124,403
404,C0478132,404
405,C0027066,405
406,C0020619,406
407,C0035085,407
408,C0267072,408
409,C0231230,409
410,C0238705,410
411,C0019158,411
412,C0232726,412
413,C0549493,413
414,C0015695,414
415,C0920048,415
416,C0242073,416
417,C0233308,417
418,C0744727,418
419,C1697844,419
420,C0239233,420
421,C0751495,421
422,C0025874,422
423,C0020532,423
424,C0002726,424
425,C0278014,425
426,C0401151,426
427,C0859032,427
428,C0857087,428
429,C0027726,429
430,C0020578,430
431,C0240962,431
432,C0541911,432
433,C0007758,433
434,C0021167,434
435,C0005699,435
436,C0872410,436
437,C0235198,437
438,C0032231,438
439,C0520887,439
440,C0031154,440
441,C0033377,441
442,C0003460,442
443,C0243026,443
444,C0202113,444
445,C0281778,445
446,C0009080,446
447,C0162316,447
448,C0014583,448
449,C0455769,449
450,C0858924,450
451,C1142277,451
452,C0040252,452
453,C0151818,453
454,C0034150,454
455,C0027121,455
456,C0085584,456
457,C0040586,457
458,C1168392,458
459,C0234238,459
460,C0026961,460
461,C0239937,461
462,C0337672,462
463,C0036439,463
464,C0581911,464
465,C0235634,465
466,C0156195,466
467,C0578859,467
468,C0020615,468
469,C0002416,469
470,C0009677,470
471,C0151435,471
472,C0242184,472
473,C0022081,473
474,C1868945,474
475,C0232995,475
476,C0042024,476
477,C0702266,477
478,C0014306,478
479,C0231872,479
480,C0392162,480
481,C0025287,481
482,C0018777,482
483,C3714745,483
484,C0740394,484
485,C0156312,485
486,C0376175,486
487,C0028778,487
488,C0013595,488
489,C0009421,489
490,C0241705,490
491,C0522224,491
492,C0239133,492
493,C0234133,493
494,C0235106,494
495,C0851578,495
496,C0848340,496
497,C0017565,497
498,C0241262,498
499,C0338656,499
500,C0029443,500
501,C0221406,501
502,C0949570,502
503,C0024790,503
504,C0085669,504
505,C0151595,505
506,C1144799,506
507,C0023241,507
508,C0032708,508
509,C0023267,509
510,C0038663,510
511,C0235974,511
512,C0003175,512
513,C0155502,513
514,C0017920,514
515,C0451728,515
516,C0442874,516
517,C0001511,517
518,C0020456,518
519,C0032290,519
520,C0014854,520
521,C0007097,521
522,C1510475,522
523,C0566602,523
524,C0007193,524
525,C0242379,525
526,C0036202,526
527,C0034155,527
528,C0852445,528
529,C0085740,529
530,C0023443,530
531,C0007787,531
532,C0007570,532
533,C0034067,533
534,C0027708,534
535,C0259756,535
536,C0017160,536
537,C0017205,537
538,C0004610,538
539,C0002874,539
540,C0019151,540
541,C0016470,541
542,C0018989,542
543,C1258215,543
544,C1145670,544
545,C0036690,545
546,C0034734,546
547,C1384514,547
548,C0162565,548
549,C0087086,549
550,C0558355,550
551,C0149931,551
552,C0020433,552
553,C0022104,553
554,C0376358,554
555,C3805004,555
556,C0003504,556
557,C0010692,557
558,C0007115,558
559,C0085096,559
560,C0024225,560
561,C0041333,561
562,C0439857,562
563,C0019202,563
564,C0020550,564
565,C0036341,565
566,C0023449,566
567,C0035400,567
568,C0002390,568
569,C0011848,569
570,C0029408,570
571,C0009319,571
572,C0002395,572
573,C0023473,573
574,C0005586,574
575,C0206702,575
576,C0024117,576
577,C0019069,577
578,C1268964,578
579,C0039685,579
580,C0019270,580
581,C0021400,581
582,C0038525,582
583,C0030920,583
584,C0006267,584
585,C0035579,585
586,C0019196,586
587,C0149518,587
588,C0035920,588
589,C0947845,589
590,C0085278,590
591,C0151945,591
592,C0014121,592
593,C0340164,593
594,C0011880,594
595,C0031511,595
596,C0030567,596
597,C0035305,597
598,C0022116,598
599,C0025202,599
600,C0265144,600
601,C0020428,601
602,C0018817,602
603,C0546817,603
604,C0018802,604
605,C0011119,605
606,C0008311,606
607,C0028754,607
608,C0343528,608
609,C0035410,609
610,C0026267,610
611,C0019163,611
612,C0024141,612
613,C0542142,613
614,C0020676,614
615,C3805154,615
616,C0043019,616
617,C0036920,617
618,C1956257,618
619,C0017150,619
620,C0011206,620
621,C0041948,621
622,C0041912,622
623,C0018995,623
624,C0007642,624
625,C0006840,625
626,C0024305,626
627,C0019187,627
628,C0007121,628
629,C0018818,629
630,C0003507,630
631,C0021141,631
632,C0027145,632
633,C0019112,633
634,C0019189,634
635,C0037116,635
636,C0149521,636
637,C0012546,637
638,C0037889,638
639,C0019937,639
640,C0085695,640
641,C0001973,641
642,C0014869,642
643,C0023896,643
644,C0032269,644
645,C0153633,645
646,C0004096,646
647,C0010481,647
648,C0038358,648
649,C0012813,649
650,C0022658,650
651,C0004943,651
652,C0001339,652
653,C1623038,653
654,C0026769,654
655,C0032827,655
656,C0006826,656
657,C0014118,657
658,C0020305,658
659,C0020258,659
660,C0003492,660
661,C1527249,661
662,C0010054,662
663,C0024796,663
664,C0023434,664
665,C0030305,665
666,C0751761,666
667,C2239176,667
668,C0026269,668
669,C0007134,669
670,C0013405,670
671,C0549346,671
672,C0221069,672
673,C1456784,673
674,C0027051,674
675,C0006266,675
676,C0040028,676
677,C0024228,677
678,C3495801,678
679,C0011847,679
680,C0032305,680
681,C0028756,681
682,C0034362,682
683,C0002986,683
684,C0877430,684
685,C0338481,685
686,C0027849,686
687,C0024299,687
688,C0027627,688
689,C0700613,689
690,C0010346,690
691,C0007102,691
692,C0036285,692
693,C0034186,693
694,C0008325,694
695,C0042029,695
696,C1306557,696
697,C0032026,697
698,C0022660,698
699,C0023176,699
700,C0007177,700
701,C0040961,701
702,C0340643,702
703,C0027651,703
704,C0024904,704
705,C0041234,705
706,C0036262,706
707,C0221036,707
708,C0014549,708
709,C0024623,709
710,C0398650,710
711,C0023788,711
712,C0006142,712
713,C1740806,713
714,C1704272,714
715,C0017601,715
716,C1535939,716
717,C0497327,717
718,C0033975,718
719,C1096584,719
720,C0001206,720
721,C0031212,721
722,C0022661,722
723,C0019204,723
724,C0017551,724
725,C0752347,725
726,C0035078,726
727,C0003873,727
728,C0011253,728
729,C0027947,729
730,C0878544,730
731,C0017168,731
